PeriodBegin,Boston,San Francisco,San Diego,Chicago,San Jose,Washington DC,Los Angeles,Seattle
1/1/2012,"384,900.00","699,000.00","349,900.00","169,000.00","426,500.00","399,900.00","340,000.00","339,000.00"
2/1/2012,"419,000.00","749,000.00","359,450.00","193,000.00","460,000.00","399,999.00","349,800.00","339,725.00"
3/1/2012,"409,000.00","779,000.00","387,500.00","199,900.00","483,800.00","449,900.00","350,000.00","389,000.00"
4/1/2012,"419,000.00","714,000.00","379,000.00","189,900.00","479,000.00","425,000.00","375,000.00","389,950.00"
5/1/2012,"409,950.00","797,000.00","389,900.00","179,900.00","499,994.50","434,500.00","399,000.00","385,000.00"
6/1/2012,"419,000.00","779,000.00","399,900.00","180,000.00","539,000.00","425,000.00","375,900.00","399,000.00"
7/1/2012,"389,900.00","739,000.00","385,000.00","179,950.00","524,975.00","399,999.00","390,500.00","375,000.00"
8/1/2012,"389,000.00","770,500.00","399,000.00","169,900.00","499,950.00","399,900.00","389,000.00","368,500.00"
9/1/2012,"437,000.00","817,500.00","389,000.00","172,000.00","529,925.00","450,000.00","409,000.00","415,000.00"
10/1/2012,"403,750.00","799,000.00","395,000.00","164,900.00","523,888.00","439,000.00","399,000.00","380,475.00"
11/1/2012,"419,000.00","799,000.00","385,000.00","147,300.00","525,000.00","427,450.00","399,900.00","370,000.00"
12/1/2012,"409,950.00","685,000.00","385,000.00","139,900.00","522,500.00","399,277.50","382,950.00","329,967.00"
1/1/2013,"445,000.00","799,000.00","415,444.00","179,000.00","546,944.00","457,450.00","425,000.00","369,000.00"
2/1/2013,"439,000.00","849,000.00","444,900.00","224,900.00","598,000.00","450,000.00","449,000.00","399,950.00"
3/1/2013,"449,000.00","829,000.00","459,900.00","224,000.00","599,919.00","477,000.00","474,950.00","399,000.00"
4/1/2013,"449,999.50","829,000.00","456,700.00","225,000.00","635,000.00","469,000.00","499,000.00","400,000.00"
5/1/2013,"449,950.00","849,000.00","475,000.00","240,000.00","629,000.00","519,000.00","499,000.00","409,950.00"
6/1/2013,"439,000.00","799,000.00","449,000.00","229,000.00","615,000.00","469,500.00","495,000.00","415,000.00"
7/1/2013,"429,000.00","849,000.00","465,000.00","229,900.00","599,950.00","469,900.00","489,900.00","399,000.00"
8/1/2013,"440,000.00","799,000.00","450,000.00","215,000.00","625,000.00","419,500.00","495,000.00","399,000.00"
9/1/2013,"464,700.00","925,000.00","449,000.00","229,000.00","599,888.00","499,900.00","499,000.00","425,000.00"
10/1/2013,"439,000.00","875,000.00","444,950.00","200,000.00","599,000.00","469,900.00","495,000.00","425,000.00"
11/1/2013,"470,000.00","849,000.00","449,000.00","175,000.00","599,000.00","439,700.00","480,000.00","389,925.00"
12/1/2013,"469,900.00","788,000.00","430,000.00","174,900.00","599,000.00","427,600.00","450,000.00","399,000.00"
1/1/2014,"506,950.00","898,000.00","459,000.00","229,000.00","625,000.00","449,000.00","525,000.00","399,950.00"
2/1/2014,"479,000.00","899,000.00","479,000.00","249,000.00","658,400.00","449,000.00","535,000.00","424,950.00"
3/1/2014,"469,900.00","902,500.00","489,000.00","255,000.00","652,525.00","499,000.00","539,975.00","419,950.00"
4/1/2014,"499,000.00","949,000.00","497,500.00","268,500.00","689,000.00","514,900.00","539,000.00","443,995.00"
5/1/2014,"479,900.00","937,000.00","518,150.00","265,000.00","675,000.00","499,900.00","560,000.00","440,000.00"
6/1/2014,"469,700.00","899,000.00","515,000.00","259,900.00","675,000.00","474,999.50","549,000.00","465,000.00"
7/1/2014,"469,000.00","899,000.00","488,488.00","247,700.00","650,000.00","469,900.00","550,000.00","439,000.00"
8/1/2014,"479,000.00","899,000.00","479,000.00","233,900.00","669,000.00","420,000.00","529,500.00","425,000.00"
9/1/2014,"498,450.00","1,009,750.00","475,500.00","249,900.00","688,000.00","515,000.00","549,900.00","459,950.00"
10/1/2014,"499,900.00","995,000.00","479,450.00","214,250.00","672,444.00","499,000.00","549,900.00","450,000.00"
11/1/2014,"519,000.00","999,000.00","499,000.00","192,900.00","685,000.00","482,425.00","506,000.00","449,950.00"
12/1/2014,"496,900.00","939,000.00","440,000.00","179,900.00","655,000.00","439,499.50","499,000.00","429,000.00"
1/1/2015,"515,000.00","1,049,000.00","499,000.00","229,000.00","674,995.00","485,000.00","550,000.00","435,000.00"
2/1/2015,"599,450.00","998,000.00","520,000.00","270,000.00","700,000.00","512,500.00","569,000.00","468,888.00"
3/1/2015,"539,999.00","1,049,000.00","534,000.00","269,900.00","735,000.00","524,900.00","579,000.00","499,000.00"
4/1/2015,"549,900.00","1,099,000.00","526,900.00","269,900.00","729,000.00","549,000.00","599,000.00","475,000.00"
5/1/2015,"549,900.00","1,049,000.00","525,438.00","269,900.00","765,000.00","530,000.00","599,000.00","495,000.00"
6/1/2015,"529,900.00","1,057,113.00","508,888.00","265,000.00","749,000.00","515,000.00","579,949.50","509,975.00"
7/1/2015,"499,000.00","1,015,000.00","519,000.00","255,950.00","749,894.00","499,000.00","585,000.00","474,975.00"
8/1/2015,"519,000.00","995,000.00","518,000.00","245,000.00","739,000.00","479,900.00","580,000.00","495,000.00"
9/1/2015,"569,900.00","1,098,000.00","499,900.00","259,900.00","765,000.00","539,000.00","589,000.00","515,000.00"
10/1/2015,"559,000.00","1,149,000.00","510,000.00","239,900.00","725,000.00","539,900.00","615,000.00","499,500.00"
11/1/2015,"512,450.00","999,499.50","525,000.00","219,000.00","726,750.00","499,500.00","589,900.00","521,500.00"
12/1/2015,"500,000.00","998,900.00","499,000.00","179,900.00","699,974.50","489,000.00","549,950.00","500,000.00"
1/1/2016,"560,000.00","1,099,000.00","525,000.00","249,900.00","754,500.00","490,000.00","605,000.00","549,000.00"
2/1/2016,"599,000.00","1,189,000.00","549,000.00","283,450.00","789,000.00","549,000.00","615,000.00","549,400.00"
3/1/2016,"599,900.00","1,159,000.00","550,000.00","289,900.00","799,000.00","550,000.00","625,000.00","549,000.00"
4/1/2016,"599,000.00","1,125,000.00","565,000.00","285,000.00","799,000.00","599,000.00","645,500.00","549,950.00"
5/1/2016,"599,000.00","1,195,000.00","579,000.00","284,900.00","808,000.00","549,900.00","635,000.00","549,950.00"
6/1/2016,"575,000.00","1,141,900.00","549,900.00","274,500.00","799,919.00","552,450.00","650,000.00","550,000.00"
7/1/2016,"578,000.00","1,095,000.00","549,000.00","274,000.00","769,949.00","545,000.00","619,000.00","535,000.00"
8/1/2016,"590,000.00","1,097,000.00","539,000.00","259,900.00","788,500.00","469,500.00","619,000.00","535,000.00"
9/1/2016,"599,900.00","1,195,000.00","545,000.00","278,000.00","799,000.00","574,555.00","639,450.00","584,995.00"
10/1/2016,"619,900.00","1,199,000.00","525,000.00","249,900.00","779,444.00","551,000.00","665,000.00","569,990.00"
11/1/2016,"579,000.00","1,179,000.00","545,250.00","239,000.00","769,950.00","524,000.00","649,000.00","575,000.00"
12/1/2016,"599,000.00","1,199,000.00","530,000.00","210,000.00","778,000.00","499,900.00","589,450.00","549,388.50"
1/1/2017,"649,000.00","1,195,000.00","575,000.00","279,900.00","769,000.00","549,000.00","650,000.00","599,999.00"
2/1/2017,"697,000.00","1,181,500.00","553,950.00","325,000.00","800,000.00","549,000.00","671,000.00","612,000.00"
3/1/2017,"629,900.00","1,200,000.00","589,000.00","305,000.00","849,000.00","550,000.00","690,000.00","610,943.00"
4/1/2017,"609,000.00","1,225,000.00","602,500.00","299,900.00","825,000.00","572,450.00","689,949.50","599,950.00"
5/1/2017,"639,900.00","1,100,000.00","599,444.00","295,000.00","859,999.00","569,700.00","689,950.00","649,000.00"
6/1/2017,"649,000.00","1,150,000.00","589,450.00","299,900.00","849,925.00","575,000.00","694,799.00","648,900.00"
7/1/2017,"625,000.00","1,188,000.00","589,900.00","284,900.00","838,888.00","524,555.00","679,900.00","629,000.00"
8/1/2017,"619,450.00","1,098,000.00","580,000.00","279,000.00","844,000.00","493,000.00","649,999.00","629,150.00"
9/1/2017,"689,000.00","1,227,500.00","569,000.00","284,000.00","899,000.00","599,000.00","699,000.00","650,000.00"
10/1/2017,"675,000.00","1,295,000.00","585,000.00","269,950.00","899,988.00","559,900.00","699,994.50","650,000.00"
11/1/2017,"669,900.00","1,142,450.00","575,000.00","250,000.00","890,000.00","525,000.00","692,500.00","647,000.00"
12/1/2017,"649,949.50","1,171,500.00","550,000.00","224,900.00","876,944.00","475,000.00","639,000.00","650,000.00"
1/1/2018,"675,000.00","1,275,000.00","629,000.00","300,000.00","942,500.00","547,250.00","729,000.00","650,000.00"
